plate_type,plate,row,column,well,gene,sample,content,gene_color
96,Plate 2,D,2,D2,HPRT1,T2_TP3,reference,#1f5fbf
96,Plate 2,D,3,D3,HPRT1,T3_TP1,reference,#1f5fbf
96,Plate 2,D,4,D4,HPRT1,T3_TP1,reference,#1f5fbf
96,Plate 2,D,5,D5,SLC17A7,T2_TP3,target,#16a085
96,Plate 2,D,6,D6,SLC17A7,T2_TP3,target,#16a085
96,Plate 2,D,7,D7,SLC17A7,T3_TP1,target,#16a085
96,Plate 2,D,8,D8,SLC17A7,T3_TP1,target,#16a085
96,Plate 2,D,9,D9,SLC32A1,T2_TP3,target,#27ae60
96,Plate 2,D,10,D10,SLC32A1,T2_TP3,target,#27ae60
96,Plate 2,D,11,D11,SLC32A1,T3_TP1,target,#27ae60
96,Plate 2,D,12,D12,SLC32A1,T3_TP1,target,#27ae60
96,Plate 2,E,1,E1,HPRT1,T3_TP2,reference,#1f5fbf
96,Plate 2,E,2,E2,HPRT1,T3_TP2,reference,#1f5fbf
96,Plate 2,E,3,E3,HPRT1,T3_TP3,reference,#1f5fbf
96,Plate 2,E,4,E4,HPRT1,T3_TP3,reference,#1f5fbf
96,Plate 2,E,5,E5,SLC17A7,T3_TP2,target,#16a085
96,Plate 2,E,6,E6,SLC17A7,T3_TP2,target,#16a085
96,Plate 2,E,7,E7,SLC17A7,T3_TP3,target,#16a085
96,Plate 2,E,8,E8,SLC17A7,T3_TP3,target,#16a085
96,Plate 2,E,9,E9,SLC32A1,T3_TP2,target,#27ae60
96,Plate 2,E,10,E10,SLC32A1,T3_TP2,target,#27ae60
96,Plate 2,E,11,E11,SLC32A1,T3_TP3,target,#27ae60
96,Plate 2,E,12,E12,SLC32A1,T3_TP3,target,#27ae60
96,Plate 2,F,1,F1,HPRT1,T4_TP1,reference,#1f5fbf
96,Plate 2,F,2,F2,HPRT1,T4_TP1,reference,#1f5fbf
96,Plate 2,F,3,F3,HPRT1,T4_TP2,reference,#1f5fbf
96,Plate 2,F,4,F4,HPRT1,T4_TP2,reference,#1f5fbf
96,Plate 2,F,5,F5,SLC17A7,T4_TP1,target,#16a085
96,Plate 2,F,6,F6,SLC17A7,T4_TP1,target,#16a085
96,Plate 2,F,7,F7,SLC17A7,T4_TP2,target,#16a085
96,Plate 2,F,8,F8,SLC17A7,T4_TP2,target,#16a085
96,Plate 2,F,9,F9,SLC32A1,T4_TP1,target,#27ae60
96,Plate 2,F,10,F10,SLC32A1,T4_TP1,target,#27ae60
96,Plate 2,F,11,F11,SLC32A1,T4_TP2,target,#27ae60
96,Plate 2,F,12,F12,SLC32A1,T4_TP2,target,#27ae60
96,Plate 2,G,1,G1,HPRT1,T4_TP3,reference,#1f5fbf
96,Plate 2,G,2,G2,HPRT1,T4_TP3,reference,#1f5fbf
96,Plate 2,G,3,G3,,,,
96,Plate 2,G,4,G4,,,,
96,Plate 2,G,5,G5,SLC17A7,T4_TP3,target,#16a085
96,Plate 2,G,6,G6,SLC17A7,T4_TP3,target,#16a085
96,Plate 2,G,7,G7,,,,
96,Plate 2,G,8,G8,,,,
96,Plate 2,G,9,G9,SLC32A1,T4_TP3,target,#27ae60
96,Plate 2,G,10,G10,SLC32A1,T4_TP3,target,#27ae60
96,Plate 2,G,11,G11,,,,
96,Plate 2,G,12,G12,,,,
96,Plate 2,H,1,H1,NTC,,NTC,#9aa0a6
96,Plate 2,H,2,H2,NTC,,NTC,#9aa0a6
96,Plate 2,H,3,H3,,,,
96,Plate 2,H,4,H4,,,,
96,Plate 2,H,5,H5,NTC,,NTC,#9aa0a6
96,Plate 2,H,6,H6,NTC,,NTC,#9aa0a6
96,Plate 2,H,7,H7,,,,
96,Plate 2,H,8,H8,,,,
96,Plate 2,H,9,H9,NTC,,NTC,#9aa0a6
96,Plate 2,H,10,H10,NTC,,NTC,#9aa0a6
96,Plate 2,H,11,H11,,,,
96,Plate 2,H,12,H12,,,,
96,Plate 3,A,1,A1,HPRT1,Ctrl,reference,#1f5fbf
96,Plate 3,A,2,A2,HPRT1,Ctrl,reference,#1f5fbf
96,Plate 3,A,3,A3,HPRT1,T1_TP1,reference,#1f5fbf
96,Plate 3,A,4,A4,HPRT1,T1_TP1,reference,#1f5fbf
96,Plate 3,A,5,A5,PAX6,Ctrl,target,#8e44ad
96,Plate 3,A,6,A6,PAX6,Ctrl,target,#8e44ad
96,Plate 3,A,7,A7,PAX6,T1_TP1,target,#8e44ad
96,Plate 3,A,8,A8,PAX6,T1_TP1,target,#8e44ad
96,Plate 3,A,9,A9,SOX2,Ctrl,target,#9b59b6
96,Plate 3,A,10,A10,SOX2,Ctrl,target,#9b59b6
96,Plate 3,A,11,A11,SOX2,T1_TP1,target,#9b59b6
96,Plate 3,A,12,A12,SOX2,T1_TP1,target,#9b59b6
96,Plate 3,B,1,B1,HPRT1,T1_TP2,reference,#1f5fbf
96,Plate 3,B,2,B2,HPRT1,T1_TP2,reference,#1f5fbf
96,Plate 3,B,3,B3,HPRT1,T1_TP3,reference,#1f5fbf
96,Plate 3,B,4,B4,HPRT1,T1_TP3,reference,#1f5fbf
96,Plate 3,B,5,B5,PAX6,T1_TP2,target,#8e44ad
96,Plate 3,B,6,B6,PAX6,T1_TP2,target,#8e44ad
96,Plate 3,B,7,B7,PAX6,T1_TP3,target,#8e44ad
96,Plate 3,B,8,B8,PAX6,T1_TP3,target,#8e44ad
96,Plate 3,B,9,B9,SOX2,T1_TP2,target,#9b59b6
96,Plate 3,B,10,B10,SOX2,T1_TP2,target,#9b59b6
96,Plate 3,B,11,B11,SOX2,T1_TP3,target,#9b59b6
96,Plate 3,B,12,B12,SOX2,T1_TP3,target,#9b59b6
96,Plate 3,C,1,C1,HPRT1,T2_TP1,reference,#1f5fbf
96,Plate 3,C,2,C2,HPRT1,T2_TP1,reference,#1f5fbf
96,Plate 3,C,3,C3,HPRT1,T2_TP2,reference,#1f5fbf
96,Plate 3,C,4,C4,HPRT1,T2_TP2,reference,#1f5fbf
96,Plate 3,C,5,C5,PAX6,T2_TP1,target,#8e44ad
96,Plate 3,C,6,C6,PAX6,T2_TP1,target,#8e44ad
96,Plate 3,C,7,C7,PAX6,T2_TP2,target,#8e44ad
96,Plate 3,C,8,C8,PAX6,T2_TP2,target,#8e44ad
96,Plate 3,C,9,C9,SOX2,T2_TP1,target,#9b59b6
96,Plate 3,C,10,C10,SOX2,T2_TP1,target,#9b59b6
96,Plate 3,C,11,C11,SOX2,T2_TP2,target,#9b59b6
96,Plate 3,C,12,C12,SOX2,T2_TP2,target,#9b59b6
96,Plate 3,D,1,D1,HPRT1,T2_TP3,reference,#1f5fbf
96,Plate 3,D,2,D2,HPRT1,T2_TP3,reference,#1f5fbf
96,Plate 3,D,3,D3,HPRT1,T3_TP1,reference,#1f5fbf
96,Plate 3,D,4,D4,HPRT1,T3_TP1,reference,#1f5fbf
96,Plate 3,D,5,D5,PAX6,T2_TP3,target,#8e44ad
96,Plate 3,D,6,D6,PAX6,T2_TP3,target,#8e44ad
96,Plate 3,D,7,D7,PAX6,T3_TP1,target,#8e44ad
96,Plate 3,D,8,D8,PAX6,T3_TP1,target,#8e44ad
96,Plate 3,D,9,D9,SOX2,T2_TP3,target,#9b59b6
96,Plate 3,D,10,D10,SOX2,T2_TP3,target,#9b59b6
96,Plate 3,D,11,D11,SOX2,T3_TP1,target,#9b59b6
96,Plate 3,D,12,D12,SOX2,T3_TP1,target,#9b59b6
96,Plate 3,E,1,E1,HPRT1,T3_TP2,reference,#1f5fbf
96,Plate 3,E,2,E2,HPRT1,T3_TP2,reference,#1f5fbf
96,Plate 3,E,3,E3,HPRT1,T3_TP3,reference,#1f5fbf
96,Plate 3,E,4,E4,HPRT1,T3_TP3,reference,#1f5fbf
96,Plate 3,E,5,E5,PAX6,T3_TP2,target,#8e44ad
96,Plate 3,E,6,E6,PAX6,T3_TP2,target,#8e44ad
96,Plate 3,E,7,E7,PAX6,T3_TP3,target,#8e44ad
96,Plate 3,E,8,E8,PAX6,T3_TP3,target,#8e44ad
96,Plate 3,E,9,E9,SOX2,T3_TP2,target,#9b59b6
96,Plate 3,E,10,E10,SOX2,T3_TP2,target,#9b59b6
96,Plate 3,E,11,E11,SOX2,T3_TP3,target,#9b59b6
96,Plate 3,E,12,E12,SOX2,T3_TP3,target,#9b59b6
96,Plate 3,F,1,F1,HPRT1,T4_TP1,reference,#1f5fbf
96,Plate 3,F,2,F2,HPRT1,T4_TP1,reference,#1f5fbf
96,Plate 3,F,3,F3,HPRT1,T4_TP2,reference,#1f5fbf
96,Plate 3,F,4,F4,HPRT1,T4_TP2,reference,#1f5fbf
96,Plate 3,F,5,F5,PAX6,T4_TP1,target,#8e44ad
96,Plate 3,F,6,F6,PAX6,T4_TP1,target,#8e44ad
96,Plate 3,F,7,F7,PAX6,T4_TP2,target,#8e44ad
96,Plate 3,F,8,F8,PAX6,T4_TP2,target,#8e44ad
96,Plate 3,F,9,F9,SOX2,T4_TP1,target,#9b59b6
96,Plate 3,F,10,F10,SOX2,T4_TP1,target,#9b59b6
96,Plate 3,F,11,F11,SOX2,T4_TP2,target,#9b59b6
96,Plate 3,F,12,F12,SOX2,T4_TP2,target,#9b59b6
96,Plate 3,G,1,G1,HPRT1,T4_TP3,reference,#1f5fbf
96,Plate 3,G,2,G2,HPRT1,T4_TP3,reference,#1f5fbf
96,Plate 3,G,3,G3,,,,
96,Plate 3,G,4,G4,,,,
96,Plate 3,G,5,G5,PAX6,T4_TP3,target,#8e44ad
96,Plate 3,G,6,G6,PAX6,T4_TP3,target,#8e44ad
96,Plate 3,G,7,G7,,,,
96,Plate 3,G,8,G8,,,,
96,Plate 3,G,9,G9,SOX2,T4_TP3,target,#9b59b6
96,Plate 3,G,10,G10,SOX2,T4_TP3,target,#9b59b6
96,Plate 3,G,11,G11,,,,
96,Plate 3,G,12,G12,,,,
96,Plate 3,H,1,H1,NTC,,NTC,#9aa0a6
96,Plate 3,H,2,H2,NTC,,NTC,#9aa0a6
96,Plate 3,H,3,H3,,,,
96,Plate 3,H,4,H4,,,,
96,Plate 3,H,5,H5,NTC,,NTC,#9aa0a6
96,Plate 3,H,6,H6,NTC,,NTC,#9aa0a6
96,Plate 3,H,7,H7,,,,
96,Plate 3,H,8,H8,,,,
96,Plate 3,H,9,H9,NTC,,NTC,#9aa0a6
96,Plate 3,H,10,H10,NTC,,NTC,#9aa0a6
96,Plate 3,H,11,H11,,,,
96,Plate 3,H,12,H12,,,,
96,Plate 4,A,1,A1,HPRT1,Ctrl,reference,#1f5fbf
96,Plate 4,A,2,A2,HPRT1,Ctrl,reference,#1f5fbf
96,Plate 4,A,3,A3,HPRT1,T1_TP1,reference,#1f5fbf
96,Plate 4,A,4,A4,HPRT1,T1_TP1,reference,#1f5fbf
96,Plate 4,A,5,A5,OLIG2,Ctrl,target,#d35400
96,Plate 4,A,6,A6,OLIG2,Ctrl,target,#d35400
96,Plate 4,A,7,A7,OLIG2,T1_TP1,target,#d35400
96,Plate 4,A,8,A8,OLIG2,T1_TP1,target,#d35400
96,Plate 4,A,9,A9,STX1A,Ctrl,target,#c0399b
96,Plate 4,A,10,A10,STX1A,Ctrl,target,#c0399b
96,Plate 4,A,11,A11,STX1A,T1_TP1,target,#c0399b
96,Plate 4,A,12,A12,STX1A,T1_TP1,target,#c0399b
96,Plate 4,B,1,B1,HPRT1,T1_TP2,reference,#1f5fbf
96,Plate 4,B,2,B2,HPRT1,T1_TP2,reference,#1f5fbf
96,Plate 4,B,3,B3,HPRT1,T1_TP3,reference,#1f5fbf
96,Plate 4,B,4,B4,HPRT1,T1_TP3,reference,#1f5fbf
96,Plate 4,B,5,B5,OLIG2,T1_TP2,target,#d35400
96,Plate 4,B,6,B6,OLIG2,T1_TP2,target,#d35400
96,Plate 4,B,7,B7,OLIG2,T1_TP3,target,#d35400
96,Plate 4,B,8,B8,OLIG2,T1_TP3,target,#d35400
96,Plate 4,B,9,B9,STX1A,T1_TP2,target,#c0399b
96,Plate 4,B,10,B10,STX1A,T1_TP2,target,#c0399b
96,Plate 4,B,11,B11,STX1A,T1_TP3,target,#c0399b
96,Plate 4,B,12,B12,STX1A,T1_TP3,target,#c0399b
96,Plate 4,C,1,C1,HPRT1,T2_TP1,reference,#1f5fbf
96,Plate 4,C,2,C2,HPRT1,T2_TP1,reference,#1f5fbf
96,Plate 4,C,3,C3,HPRT1,T2_TP2,reference,#1f5fbf
96,Plate 4,C,4,C4,HPRT1,T2_TP2,reference,#1f5fbf
96,Plate 4,C,5,C5,OLIG2,T2_TP1,target,#d35400
96,Plate 4,C,6,C6,OLIG2,T2_TP1,target,#d35400
96,Plate 4,C,7,C7,OLIG2,T2_TP2,target,#d35400
96,Plate 4,C,8,C8,OLIG2,T2_TP2,target,#d35400
96,Plate 4,C,9,C9,STX1A,T2_TP1,target,#c0399b
96,Plate 4,C,10,C10,STX1A,T2_TP1,target,#c0399b
96,Plate 4,C,11,C11,STX1A,T2_TP2,target,#c0399b
96,Plate 4,C,12,C12,STX1A,T2_TP2,target,#c0399b
96,Plate 4,D,1,D1,HPRT1,T2_TP3,reference,#1f5fbf
96,Plate 4,D,2,D2,HPRT1,T2_TP3,reference,#1f5fbf
96,Plate 4,D,3,D3,HPRT1,T3_TP1,reference,#1f5fbf
96,Plate 4,D,4,D4,HPRT1,T3_TP1,reference,#1f5fbf
96,Plate 4,D,5,D5,OLIG2,T2_TP3,target,#d35400
96,Plate 4,D,6,D6,OLIG2,T2_TP3,target,#d35400
96,Plate 4,D,7,D7,OLIG2,T3_TP1,target,#d35400
96,Plate 4,D,8,D8,OLIG2,T3_TP1,target,#d35400
96,Plate 4,D,9,D9,STX1A,T2_TP3,target,#c0399b
96,Plate 4,D,10,D10,STX1A,T2_TP3,target,#c0399b
96,Plate 4,D,11,D11,STX1A,T3_TP1,target,#c0399b
96,Plate 4,D,12,D12,STX1A,T3_TP1,target,#c0399b
96,Plate 4,E,1,E1,HPRT1,T3_TP2,reference,#1f5fbf
96,Plate 4,E,2,E2,HPRT1,T3_TP2,reference,#1f5fbf
96,Plate 4,E,3,E3,HPRT1,T3_TP3,reference,#1f5fbf
96,Plate 4,E,4,E4,HPRT1,T3_TP3,reference,#1f5fbf
96,Plate 4,E,5,E5,OLIG2,T3_TP2,target,#d35400
96,Plate 4,E,6,E6,OLIG2,T3_TP2,target,#d35400
96,Plate 4,E,7,E7,OLIG2,T3_TP3,target,#d35400
96,Plate 4,E,8,E8,OLIG2,T3_TP3,target,#d35400
96,Plate 4,E,9,E9,STX1A,T3_TP2,target,#c0399b
96,Plate 4,E,10,E10,STX1A,T3_TP2,target,#c0399b
96,Plate 4,E,11,E11,STX1A,T3_TP3,target,#c0399b
96,Plate 4,E,12,E12,STX1A,T3_TP3,target,#c0399b
96,Plate 4,F,1,F1,HPRT1,T4_TP1,reference,#1f5fbf
96,Plate 4,F,2,F2,HPRT1,T4_TP1,reference,#1f5fbf
96,Plate 4,F,3,F3,HPRT1,T4_TP2,reference,#1f5fbf
96,Plate 4,F,4,F4,HPRT1,T4_TP2,reference,#1f5fbf
96,Plate 4,F,5,F5,OLIG2,T4_TP1,target,#d35400
96,Plate 4,F,6,F6,OLIG2,T4_TP1,target,#d35400
96,Plate 4,F,7,F7,OLIG2,T4_TP2,target,#d35400
96,Plate 4,F,8,F8,OLIG2,T4_TP2,target,#d35400
96,Plate 4,F,9,F9,STX1A,T4_TP1,target,#c0399b
96,Plate 4,F,10,F10,STX1A,T4_TP1,target,#c0399b
96,Plate 4,F,11,F11,STX1A,T4_TP2,target,#c0399b
96,Plate 4,F,12,F12,STX1A,T4_TP2,target,#c0399b
96,Plate 4,G,1,G1,HPRT1,T4_TP3,reference,#1f5fbf
96,Plate 4,G,2,G2,HPRT1,T4_TP3,reference,#1f5fbf
96,Plate 4,G,3,G3,,,,
96,Plate 4,G,4,G4,,,,
96,Plate 4,G,5,G5,OLIG2,T4_TP3,target,#d35400
96,Plate 4,G,6,G6,OLIG2,T4_TP3,target,#d35400
96,Plate 4,G,7,G7,,,,
96,Plate 4,G,8,G8,,,,
96,Plate 4,G,9,G9,STX1A,T4_TP3,target,#c0399b
96,Plate 4,G,10,G10,STX1A,T4_TP3,target,#c0399b
96,Plate 4,G,11,G11,,,,
96,Plate 4,G,12,G12,,,,
96,Plate 4,H,1,H1,NTC,,NTC,#9aa0a6
96,Plate 4,H,2,H2,NTC,,NTC,#9aa0a6
96,Plate 4,H,3,H3,,,,
96,Plate 4,H,4,H4,,,,
96,Plate 4,H,5,H5,NTC,,NTC,#9aa0a6
96,Plate 4,H,6,H6,NTC,,NTC,#9aa0a6
96,Plate 4,H,7,H7,,,,
96,Plate 4,H,8,H8,,,,
96,Plate 4,H,9,H9,NTC,,NTC,#9aa0a6
96,Plate 4,H,10,H10,NTC,,NTC,#9aa0a6
96,Plate 4,H,11,H11,,,,
96,Plate 4,H,12,H12,,,,
96,Plate 5,A,1,A1,HPRT1,Ctrl,reference,#1f5fbf
96,Plate 5,A,2,A2,HPRT1,Ctrl,reference,#1f5fbf
96,Plate 5,A,3,A3,HPRT1,T1_TP1,reference,#1f5fbf
96,Plate 5,A,4,A4,HPRT1,T1_TP1,reference,#1f5fbf
96,Plate 5,A,5,A5,KCNMA1,Ctrl,target,#2c7fb8
96,Plate 5,A,6,A6,KCNMA1,Ctrl,target,#2c7fb8
96,Plate 5,A,7,A7,KCNMA1,T1_TP1,target,#2c7fb8
96,Plate 5,A,8,A8,KCNMA1,T1_TP1,target,#2c7fb8
96,Plate 5,A,9,A9,KCNN2,Ctrl,target,#41b6c4
96,Plate 5,A,10,A10,KCNN2,Ctrl,target,#41b6c4
96,Plate 5,A,11,A11,KCNN2,T1_TP1,target,#41b6c4
96,Plate 5,A,12,A12,KCNN2,T1_TP1,target,#41b6c4
96,Plate 5,B,1,B1,HPRT1,T1_TP2,reference,#1f5fbf
96,Plate 5,B,2,B2,HPRT1,T1_TP2,reference,#1f5fbf
96,Plate 5,B,3,B3,HPRT1,T1_TP3,reference,#1f5fbf
96,Plate 5,B,4,B4,HPRT1,T1_TP3,reference,#1f5fbf
96,Plate 5,B,5,B5,KCNMA1,T1_TP2,target,#2c7fb8
96,Plate 5,B,6,B6,KCNMA1,T1_TP2,target,#2c7fb8
96,Plate 5,B,7,B7,KCNMA1,T1_TP3,target,#2c7fb8
96,Plate 5,B,8,B8,KCNMA1,T1_TP3,target,#2c7fb8
96,Plate 5,B,9,B9,KCNN2,T1_TP2,target,#41b6c4
